Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31
FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1
FIFA 17,PS4,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69
Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.28,1.61,0.15,0.57
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,1.94,1.22,0.02,0.31
FIFA 16,XOne,2015,Sports,Electronic Arts,0.88,2.11,0,0.23
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.33,0.3,0,0.59
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.87,0.93,0.2
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.38,0.32,0,0.31
FIFA 16,PS3,2015,Sports,Electronic Arts,0.4,1.98,0.05,0.42
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.07,0.08,0,0.26
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.93,0.14,0,0.24
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.54,1.16,0.13,0.32
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.7,0.93,0.14,0.32
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.2,0.62,0,0.18
