Country code,Name,Forward Or Back,Total Matches,Points scored,Games Won,Six Nations Lost,Six Nations Draw,Height In Metres,Club,Influence
1,Owen Farrell,Back,34,402,25,8,1,1.88,Saracens,90
6,Leigh Halfpenny,Back,37,392,24,13,0,1.78,Scarlets,82
3,Jonathan Sexton,Back,43,380,27,14,2,1.88,Leinster,73
6,Dan Biggar,Back,30,123,21,8,1,1.88,Northampton,70
4,Tommaso Allan,Back,23,105,1,22,0,1.83,Benetton,84
1,George Ford,Back,26,101,20,5,1,1.75,Leicester,87
6,George North,Back,37,95,26,10,1,1.93,Ospreys,61
5,Finn Russell,Back,22,71,9,12,1,1.83,Racing 92,57
5,Stuart Hogg,Back,36,66,12,24,0,1.83,Glasgow,78
3,Keith Earls,Back,38,60,22,13,3,1.78,Munster,70
3,Conor Murray,Back,37,57,22,12,3,1.88,Munster,52
1,Jonathan Joseph,Back,19,50,14,5,0,1.83,Bath,77
1,Jonny May,Back,20,50,14,5,1,1.86,Leicester,83
3,Jacob Stockdale,Back,10,45,8,2,0,1.91,Ulster,65
4,Carlo Canna,Back,11,41,0,11,0,1.9,Zebre,81
1,Anthony Watson,Back,17,40,12,5,0,1.88,Bath,72
6,Liam Williams,Back,27,35,18,8,1,1.88,Saracens,59
1,Elliot Daly,Back,14,31,9,4,1,1.84,Saracens,81
3,CJ Stander,Forward,18,30,11,6,1,1.85,Munster,81
2,Gael Fickou,Back,24,25,12,12,0,1.91,Stade Francais,68
1,Manu Tuilagi,Back,14,25,10,3,1,1.85,Leicester,74
5,Huw Jones,Back,12,25,7,5,0,1.85,Glasgow,78
1,Ben Youngs,Back,37,25,29,6,2,1.78,Leicester,79
4,Leonardo Sarto,Back,14,20,0,14,0,1.93,Benetton,48
6,Gareth Davies,Back,19,20,14,4,1,1.78,Scarlets,55
4,Matteo Minozzi,Back,5,20,0,5,0,1.75,Wasps,57
4,Luca Morisi,Back,11,20,1,10,0,1.83,Benetton,68
6,Rhys Webb,Back,16,20,10,6,0,1.83,Touloun,75
5,Blair Kinghorn,Back,6,20,2,4,0,1.93,Edinburgh,77
3,Cian Healy,Forward,44,20,27,15,2,1.85,Leinster,84
5,Sean Maitland,Back,17,20,6,10,1,1.88,Saracens,87
4,Edoardo Padovani,Back,13,18,0,13,0,1.88,Zebre,75
6,Taulupe Faletau,Forward,31,15,22,8,1,1.88,Bath,66
5,Darcy Graham,Back,3,15,0,2,1,1.75,Edinburgh,68
2,Romain Ntamack,Back,5,15,2,3,0,1.85,Toulouse,69
6,Josh Adams,Back,7,15,6,1,0,1.88,Cardiff Blues,76
2,Teddy Thomas,Back,5,15,2,3,0,1.85,Racing 92,83
3,Robbie Henshaw,Back,18,15,11,6,1,1.93,Leinster,84
2,Baptiste Serin,Back,10,12,5,5,0,1.8,Bordeaux,64
3,Bundee Aki,Back,10,10,8,2,0,1.78,Connacht,48
4,Guglielmo Palazzani,Back,13,10,0,13,0,1.77,Zebre,53
4,Tommaso Benvenuti,Back,24,10,4,20,0,1.85,Benetton,54
6,Ross Moriarty,Forward,14,10,9,5,0,1.88,Gwent Dragons,64
5,Sam Johnson,Back,4,10,1,2,1,1.8,Glasgow,66
6,Hadleigh Parkes,Back,9,10,7,2,0,1.88,Scarlets,69
4,Mattia Bellini,Back,10,10,0,10,0,1.93,Zebre,71
6,Cory Hill,Forward,9,10,6,3,0,1.96,Gwent Dragons,73
2,Virimi Vakatawa,Back,11,10,5,6,0,1.85,Racing 92,74
3,Garry Ringrose,Back,10,10,6,4,0,1.91,Leinster,76
5,Matt Scott,Back,17,10,4,13,0,1.85,Edinburgh,79
2,Damian Penaud,Back,5,10,2,3,0,1.85,Clermont,79
1,Tom Curry,Forward,5,10,3,1,1,1.85,Sale,86
3,Jack McGrath,Forward,26,10,19,6,1,1.85,Ulster,87
3,Iain Henderson,Forward,22,10,15,6,1,1.98,Ulster,90
1,George Kruis,Forward,17,10,12,4,1,1.98,Saracens,91
6,Owen Watkin,Back,7,5,7,0,0,1.88,Ospreys,48
5,Ali Price,Back,14,5,6,7,1,1.78,Glasgow,51
6,Aaron Shingler,Forward,8,5,5,3,0,1.96,Scarlets,58
6,Tomos Williams,Back,1,5,1,0,0,1.78,Cardiff Blues,64
2,Antoine Dupont,Back,7,5,4,3,0,1.75,Toulouse,66
6,Justin Tipuric,Forward,35,5,25,9,1,1.88,Ospreys,69
2,Romain Taofifenua,Forward,8,5,3,5,0,2.01,Touloun,71
1,Joe Launchbury,Forward,27,5,19,7,1,1.98,Wasps,71
5,Fraser Brown,Forward,16,5,4,11,1,1.83,Glasgow,73
5,Chris Harris,Back,3,5,1,1,1,1.88,Gloucester,73
4,Alessandro Zanni,Forward,52,5,8,43,1,1.93,Benetton,77
5,Stuart McInally,Forward,15,5,6,8,1,1.91,Edinburgh,77
3,Jordan Larmour,Back,7,5,5,2,0,1.78,Leinster,79
3,John Cooney,Back,4,5,3,1,0,1.78,Ulster,83
1,Jamie George,Forward,18,5,12,5,1,1.8,Saracens,84
6,Alun Wyn Jones,Forward,53,5,34,18,1,1.98,Ospreys,85
2,Thomas Ramos,Back,4,5,2,2,0,1.78,Toulouse,86
5,Magnus Bradbury,Forward,3,5,0,2,1,1.93,Edinburgh,88
3,Devin Toner,Forward,28,5,18,9,1,2.11,Leinster,90
1,Mako Vunipola,Forward,30,5,23,7,0,1.82,Saracens,91
4,Abraham Steyn,Forward,15,5,0,15,0,1.94,Benetton,92
5,Adam Hastings,Back,4,2,1,2,1,1.85,Glasgow,80
3,Ultan Dillane,Forward,8,0,6,2,0,1.98,Connacht,43
5,Allan Dell,Forward,10,0,4,5,1,1.85,Edinburgh,44
5,Jonny Gray,Forward,24,0,8,15,1,1.98,Glasgow,46
6,Jake Ball,Forward,18,0,12,6,0,2.01,Scarlets,47
6,Elliot Dee,Forward,10,0,8,2,0,1.83,Gwent Dragons,49
6,Ryan Elias,Forward,1,0,1,0,0,1.88,Scarlets,49
2,Charles Ollivon,Forward,1,0,0,1,0,1.96,Touloun,50
2,Matthieu Jalibert,Back,1,0,0,1,0,1.77,Bordeaux,51
1,Courtney Lawes,Forward,29,0,21,7,1,2.01,Northampton,53
5,Hamish Watson,Forward,13,0,6,6,1,1.85,Edinburgh,55
5,Henry Pyrgos,Back,6,0,3,3,0,1.78,Edinburgh,57
4,Marcello Violi,Back,6,0,0,6,0,1.78,Zebre,58
2,Demba Bamba,Forward,5,0,2,3,0,1.85,Brive,58
2,Julien Marchand,Forward,1,0,0,1,0,1.8,Toulouse,59
2,Cyril Baille,Forward,5,0,3,2,0,1.83,Toulouse,60
4,Dean Budd,Forward,9,0,0,9,0,1.98,Benetton,61
6,Jonah Holmes,Back,1,0,1,0,0,1.83,Leicester,61
6,Aaron Wainwright,Forward,5,0,5,0,0,1.91,Gwent Dragons,64
4,Alberto Sgarbi,Back,11,0,1,10,0,1.92,Benetton,66
2,Bernard Le Roux,Forward,12,0,6,6,0,1.91,Racing 92,66
6,Seb Davies,Forward,1,0,1,0,0,1.98,Cardiff Blues,66
6,Adam Beard,Forward,5,0,5,0,0,2.03,Ospreys,66
3,Peter O’Mahony,Forward,31,0,20,9,2,1.91,Munster,70
5,Rory Sutherland,Forward,1,0,0,1,0,1.83,Edinburgh,70
4,Tommaso Boni,Back,3,0,0,3,0,1.87,Zebre,70
6,Wyn Jones,Forward,5,0,3,2,0,1.83,Scarlets,70
3,Dave Kilcoyne,Forward,9,0,4,5,0,1.83,Munster,71
4,Pietro Ceccarelli,Forward,3,0,0,3,0,1.84,Edinburgh ,71
2,Jefferson Poirot,Forward,14,0,5,9,0,1.8,Bordeaux,72
5,Cornell du Preez,Forward,3,0,1,2,0,1.93,Worcester,72
3,Andrew Conway,Back,3,0,3,0,0,1.8,Munster,72
5,Zander Fagerson,Forward,8,0,4,4,0,1.88,Glasgow,73
4,Andrea Lovotti,Forward,19,0,0,19,0,1.83,Zebre,73
5,Jamie Ritchie,Forward,4,0,1,3,0,1.93,Edinburgh,73
3,Chris Farrell,Back,3,0,3,0,0,1.91,Munster,74
6,Dillon Lewis,Forward,4,0,4,0,0,1.83,Cardiff Blues,75
6,Ken Owens,Forward,34,0,24,9,1,1.85,Scarlets,76
4,Giulio Bisegni,Back,6,0,1,5,0,1.8,Zebre,76
3,Josh vanderFlier,Forward,9,0,6,3,0,1.8,Leinster,76
4,Jake Polledri,Forward,3,0,0,3,0,1.88,Gloucester,76
3,Luke McGrath,Back,1,0,1,0,0,1.75,Leinster,77
6,Josh Navidi,Forward,9,0,7,2,0,1.85,Cardiff Blues,79
6,Rob Evans,Forward,21,0,14,6,1,1.88,Scarlets,80
4,Jayden Hayward,Back,10,0,0,10,0,1.84,Benetton,80
3,Dave Kearney,Back,7,0,4,2,1,1.8,Leinster,81
4,Oliviero Fabiani,Forward,4,0,0,4,0,1.8,Zebre,81
4,Luca Bigi,Forward,7,0,0,7,0,1.8,Zebre,81
4,David Sisi,Forward,5,0,0,5,0,1.96,Zebre,81
