Last name,first name,country
FARRELL,Owen,ENG
HALFPENNY,Leigh,WAL
SEXTON,Jonathan,IRE
BIGGAR,Dan,WAL
ALLAN,Tommaso,ITA
FORD,George,ENG
NORTH,George,WAL
RUSSELL,Finn,SCO
HOGG,Stuart,SCO
EARLS,Keith,IRE
MURRAY,Conor,IRE
JOSEPH,Jonathan,ENG
MAY,Jonny,ENG
STOCKDALE,Jacob,IRE
CANNA,Carlo,ITA
WATSON,Anthony,ENG
WILLIAMS,Liam,WAL
DALY,Elliot,ENG
STANDER,CJ,IRE
FICKOU,Gael,FRA
TUILAGI,Manu,ENG
JONES,Huw,SCO
YOUNGS,Ben,ENG
SARTO,Leonardo,ITA
DAVIES,Gareth,WAL
MINOZZI,Matteo,ITA
MORISI,Luca,ITA
WEBB,Rhys,WAL
KINGHORN,Blair,SCO
HEALY,Cian,IRE
MAITLAND,Sean,SCO
PADOVANI,Edoardo,ITA
FALETAU,Taulupe,WAL
GRAHAM,Darcy,SCO
NTAMACK,Romain,FRA
ADAMS,Josh,WAL
THOMAS,Teddy,FRA
HENSHAW,Robbie,IRE
SERIN,Baptiste,FRA
AKI,Bundee,IRE
PALAZZANI,Guglielmo,ITA
BENVENUTI,Tommaso,ITA
MORIARTY,Ross,WAL
JOHNSON,Sam,SCO
PARKES,Hadleigh,WAL
BELLINI,Mattia,ITA
HILL,Cory,WAL
VAKATAWA,Virimi,FRA
RINGROSE,Garry,IRE
SCOTT,Matt,SCO
PENAUD,Damian,FRA
CURRY,Tom,ENG
MCGRATH,Jack,IRE
HENDERSON,Iain,IRE
KRUIS,George,ENG
WATKIN,Owen,WAL
PRICE,Ali,SCO
SHINGLER,Aaron,WAL
WILLIAMS,Tomos,WAL
DUPONT,Antoine,FRA
TIPURIC,Justin,WAL
TAOFIFENUA,Romain,FRA
LAUNCHBURY,Joe,ENG
BROWN,Fraser,SCO
HARRIS,Chris,SCO
ZANNI,Alessandro,ITA
MCINALLY,Stuart,SCO
LARMOUR,Jordan,IRE
COONEY,John,IRE
GEORGE,Jamie,ENG
WYN JONES,Alun,WAL
RAMOS,Thomas,FRA
BRADBURY,Magnus,SCO
TONER,Devin,IRE
VUNIPOLA,Mako,ENG
STEYN,Abraham,ITA
HASTINGS,Adam,SCO
DILLANE,Ultan,IRE
DELL,Allan,SCO
GRAY,Jonny,SCO
BALL,Jake,WAL
DEE,Elliot,WAL
ELIAS,Ryan,WAL
OLLIVON,Charles,FRA
JALIBERT,Matthieu,FRA
LAWES,Courtney,ENG
WATSON,Hamish,SCO
PYRGOS,Henry,SCO
VIOLI,Marcello,ITA
BAMBA,Demba,FRA
MARCHAND,Julien,FRA
BAILLE,Cyril,FRA
BUDD,Dean,ITA
HOLMES,Jonah,WAL
WAINWRIGHT,Aaron,WAL
SGARBI,Alberto,ITA
LE ROUX,Bernard,FRA
DAVIES,Seb,WAL
BEARD,Adam,WAL
O�MAHONY,Peter,IRE
SUTHERLAND,Rory,SCO
BONI,Tommaso,ITA
JONES,Wyn,WAL
KILCOYNE,Dave,IRE
CECCARELLI,Pietro,ITA
POIROT,Jefferson,FRA
DU PREEZ,Cornell,SCO
CONWAY,Andrew,IRE
FAGERSON,Zander,SCO
LOVOTTI,Andrea,ITA
RITCHIE,Jamie,SCO
FARRELL,Chris,IRE
LEWIS,Dillon,WAL
OWENS,Ken,WAL
BISEGNI,Giulio,ITA
VANDERFLIER,Josh,IRE
POLLEDRI,Jake,ITA
MCGRATH,Luke,IRE
NAVIDI,Josh,WAL
EVANS,Rob,WAL
HAYWARD,Jayden,ITA
KEARNEY,Dave,IRE
FABIANI,Oliviero,ITA
BIGI,Luca,ITA
SISI,David,ITA
MARLER,Joe,ENG
RUZZA,Federico,ITA
BHATTI,Jamie,SCO
TOOLIS,Ben,SCO
NEGRI,Sebastian,ITA
WILLEMSE,Paul,FRA
MCGUIGAN,Byron,SCO
BERGHAN,Simon,SCO
RYAN,James,IRE
WILLIAMS,Harry,ENG
FURLONG,Tadhg,IRE
SINCKLER,Kyle,ENG
GILCHRIST,Grant,SCO
COWAN-DICKIE,Luke,ENG
ITOJE,Maro,ENG
UNDERHILL,Sam,ENG
PORTER,Andrew,IRE
LICATA,Giovanni,ITA
GENGE,Ellis,ENG
NEL,Willem,SCO
ALDEGHERI,Dorian,FRA
